title,brand,productGroup
"Keurig K55 Single Serve Programmable K-Cup Pod Coffee Maker, Black",Keurig,Kitchen
"Columbia Baby Tiny Bear II Bunting, Camellia Rose, 12-18 Months",Columbia,Apparel
"Columbia Baby Boys' Snuggly Bunny Bunting, Collegiate Navy/Navy Animal, 18-24 Months",Columbia,Apparel
"Anker PowerCore 10000, One of the Smallest and Lightest 10000mAh External Batteries, Ultra-Compact, High-speed Charging Technology Power Bank for iPhone, Samsung Galaxy and More",Anker,Wireless
"Calvin Klein Baby 3 Piece Faux Fur Vest Set, Gray, 6/9 Months",Calvin Klein,Apparel
"Calvin Klein Baby Jacket with Zip Fron and Leggings Set, Black, 18 Months",Calvin Klein,Apparel
TROLLS (Original Motion Picture Soundtrack),VARIOUS,Music
"Bosch 16"" ICON Wiper Blade (2 Pack)",Bosch,Automotive Parts and Accessories
"Bosch 22"" ICON Wiper Blade (2 Pack)",Bosch,Automotive Parts and Accessories
"TaoTronics Bluetooth Headphones, Wireless 4.1 Magnetic Earbuds Stereo Earphones, Secure Fit for Sports with Built-in Mic [Upgraded Version]",TaoTronics,Wireless
Moana,,Music
The Secret Life of Pets,,Movie
"MARQ BrightStrip 5-300S | UL-Certified 5 Meter Flexible Light Strip with 300 Multi-Color LEDs, Timer Function, and Remote Control",MARQ,Musical Instruments
Bad Moms,,Movie
Jason Bourne,,Movie
DIRECTV NOW???£á???,"AT&T Services, Inc.",Mobile Application
Boost Band Black Portable Charger Wristband Phone Charger Power Bank,Boost Band,Wireless
Zutano Cozie Bootie - Heather Gray - 12M,Zutano,Shoes
"RockJam Electronic Roll Up MIDI Drum Kit with Built in Speakers, Foot Pedals, Drumsticks, and Power Supply",RockJam,Musical Instruments
War Dogs,,Movie
"Calvin Klein Hudson Chain Monogram Crossbody, Brown/Khaki/Luggage Saffiano",Calvin Klein,Apparel
Hardwired...To Self-Destruct (Limited Deluxe Edition),,Music
"Badgley Mischka Katrina, Black Combo",Badgley Mischka,Apparel
'Tis The Season,,Music
A Look Ahead at Season 7,,TV Series Episode Video on Demand
Game On,,TV Series Episode Video on Demand
A Pentatonix Christmas,Provident Distribution Group,Music
"Marc Jacobs Trooper Small Nomad, Black",Marc Jacobs,Apparel
"Jumbo Christmas Gift Tag Stickers 60 Count Modern Red, White, Silver, and Gold Xmas Designs - Looks Great on Gifts Presents, Wrapping Paper and Gift Bags.",Paper Tags,Health and Beauty
Blue & Lonesome,,Music
Suicide Squad Extended Cut,,Movie
"Opera, Art and Donuts",,TV Series Episode Video on Demand
"Nine West Addi Tote Large, Black/Black/Black",Nine West,Apparel
"Aldo Roredia, Black",Aldo,Apparel
"Aldo Ulaodien, Cognac",Aldo,Apparel
"Aldo Gleng, Natural",Aldo,Apparel
"Nine West Clean Living Tote Large, Black/Milk/Dk. Camel/Desert/Black",Nine West,Apparel
"Aldo Sambol, Cognac",Aldo,Apparel
Christmas Together,,Music
"Table Treasures Zip Around Wallet Wallet, MOODY BLUE/DYNASTY RED/MILK, One Size",Nine West,Shoes
"Bosch 18"" ICON Wiper Blades Bundle With Rain-X Glass Cleaner Wipe (3 Items)",Bosch,Automotive Parts and Accessories
